open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1670569200000,1279.08,1283.00,1278.68,1281.70,101206.688,1670572799999,129693075.85733,52287,51599.999,66120106.28275,0
1670572800000,1281.70,1282.15,1278.31,1279.77,97318.968,1670576399999,124577112.95466,51182,50934.219,65199404.43225,0
1670576400000,1279.76,1287.97,1278.88,1284.24,142954.651,1670579999999,183350669.67862,70828,84215.108,108023702.71011,0
1670580000000,1284.24,1293.78,1281.09,1284.43,265689.911,1670583599999,341630578.08278,132787,138244.533,177806894.21622,0
1670583600000,1284.43,1290.80,1282.51,1287.32,153723.796,1670587199999,197798108.42736,91326,84694.796,108980377.23681,0
1670587200000,1287.31,1297.63,1277.71,1285.33,492106.443,1670590799999,633181887.60347,233398,257068.662,330891113.09057,0
1670590800000,1285.33,1286.87,1259.39,1274.40,666540.306,1670594399999,848939198.70510,338247,315657.233,402133402.84928,0
1670594400000,1274.39,1275.13,1264.56,1272.21,306038.096,1670597999999,388902867.98237,166266,145510.660,184918191.98828,0
1670598000000,1272.21,1277.10,1270.57,1277.09,185683.003,1670601599999,236637314.89602,104217,97158.377,123833359.39167,0
1670601600000,1277.09,1277.70,1273.32,1274.79,136115.065,1670605199999,173620347.95764,66736,62333.096,79518820.94691,0
1670605200000,1274.79,1275.27,1271.19,1273.43,84756.456,1670608799999,107916094.14063,52888,38840.638,49455387.52252,0
1670608800000,1273.43,1273.43,1265.01,1268.22,197480.300,1670612399999,250507480.67313,94092,88592.463,112367339.91383,0
1670612400000,1268.23,1268.61,1262.55,1268.42,133765.035,1670615999999,169346249.83644,75878,66653.835,84393847.61089,0
1670616000000,1268.43,1268.61,1259.01,1261.66,168220.122,1670619599999,212636168.93878,80839,71015.309,89762065.98990,0
1670619600000,1261.66,1262.90,1254.00,1259.15,220162.291,1670623199999,277192701.60791,118535,106499.705,134127150.19525,0
1670623200000,1259.14,1263.60,1258.90,1263.60,76304.900,1670626799999,96243642.10736,46860,41592.613,52461709.24207,0
1670626800000,1263.59,1264.91,1260.56,1262.31,87896.072,1670630399999,111015272.63679,49547,41717.498,52691086.26189,0
1670630400000,1262.31,1266.68,1260.88,1263.70,107524.935,1670633999999,135869456.22101,61886,60498.129,76447327.91484,0
1670634000000,1263.70,1268.19,1263.61,1265.00,78226.202,1670637599999,99025233.84701,42072,39822.398,50415381.49083,0
1670637600000,1265.00,1265.60,1261.56,1263.07,56110.605,1670641199999,70897091.30875,33270,27516.448,34770252.48725,0
1670641200000,1263.06,1265.23,1261.32,1264.77,66386.980,1670644799999,83883447.52610,37054,38829.238,49064522.35524,0
1670644800000,1264.77,1265.96,1262.62,1263.60,63999.593,1670648399999,80925137.65131,35569,34050.955,43058646.00186,0
